ID,District Name,Mailing Address,City,State,ZIP
9545,21ST CENTURY CHARTER SCH OF GARY,333 N PENNSYLVANIA SUITE 1000,INDIANAPOLIS,IN,46204
15,ADAMS CENTRAL COMMUNITY SCHOOLS,222 W WASHINGTON ST,MONROE,IN,46772
5265,ALEXANDRIA COM SCHOOL CORP,202 E WASHINGTON ST,ALEXANDRIA,IN,46001
5275,ANDERSON COMMUNITY SCHOOL CORP,1600 HILLCREST AVE,ANDERSON,IN,46011
9790,ANDERSON PREPARATORY ACADEMY,3205 W 25TH ST,ANDERSON,IN,46011
9715,ANDREW ACADEMY,4050 E 38TH ST,INDIANAPOLIS,IN,46218
9615,ANDREW J BROWN ACADEMY,3600 N GERMAN CHURCH RD,INDIANAPOLIS,IN,46235
6700,AREA 30 CAREER CENTER EDU INTER,1 N CALBERT WAY SUITE A,GREENCASTLE,IN,46135
5470,ARGOS COMMUNITY SCHOOLS,410 N FIRST ST,ARGOS,IN,46501
9685,ASPIRE CHARTER ACADEMY,4900 W 15TH AVE,GARY,IN,46406
2435,ATTICA CONSOLIDATED SCH CORP,205 E SYCAMORE ST,ATTICA,IN,47918
3315,AVON COMMUNITY SCHOOL CORP,7203 E US HWY 36,AVON,IN,46123
1315,BARR-REEVE COM SCHOOLS INC,BOX 97,MONTGOMERY,IN,47558
365,BARTHOLOMEW CON SCHOOL CORP,1200 CENTRAL AVE,COLUMBUS,IN,47201
6895,BATESVILLE COMMUNITY SCH CORP,PO BOX 121,BATESVILLE,IN,47006
2260,BAUGO COMMUNITY SCHOOLS,29125 CR 22 W,ELKHART,IN,46517
9830,BEACON ACADEMY,620 CUMBERLAND AVE,WEST LAFAYETTE,IN,47906
5380,BEECH GROVE CITY SCHOOLS,5334 HORNET AVE,BEECH GROVE,IN,46107
395,BENTON COMMUNITY SCHOOL CORP,PO BOX 512,FOWLER,IN,47944
515,BLACKFORD COUNTY SCHOOLS,0668 W 200 S,HARTFORD CITY,IN,47348
2920,BLOOMFIELD SCHOOL DISTRICT,PO BOX 266 500 W SOUTH ST,BLOOMFIELD,IN,47424
7375,BLUE RIVER CAREER PROGRAMS,801 ST JOSEPH ST,SHELBYVILLE,IN,46176
3405,BLUE RIVER VALLEY SCHOOLS,PO BOX 217,MOUNT SUMMIT,IN,47361
5480,BREMEN PUBLIC SCHOOLS,512 W GRANT ST,BREMEN,IN,46506
670,BROWN COUNTY SCHOOL CORPORATION,PO BOX 38,NASHVILLE,IN,47448
3305,BROWNSBURG COMMUNITY SCH CORP,444 E TILDEN DR,BROWNSBURG,IN,46112
3695,BROWNSTOWN CNT COM SCH CORP,608 W COMMERCE ST,BROWNSTOWN,IN,47220
9620,BURRIS LABORATORY SCHOOL,DEAN'S OFFICE-TEACHERS CLG BSU,MUNCIE,IN,47306
3455,C A BEARD MEMORIAL SCHOOL CORP,8139 W US 40,KNIGHTSTOWN,IN,46148
9725,CANAAN COMMUNITY ACADEMY,8775 N CANAAN MAIN ST POB 20,CANAAN,IN,47224
6340,CANNELTON CITY SCHOOLS,109 S THIRD ST,CANNELTON,IN,47520
9880,CAREER ACADEMY AT SOUTH BEND,3801 CRESCENT CIR,SOUTH BEND,IN,46628
3060,CARMEL CLAY SCHOOLS,5201 E MAIN ST,CARMEL,IN,46033
9755,CARPE DIEM - MERIDIAN CAMPUS,2220 N MERIDIAN ST,INDIANAPOLIS,IN,46208
750,CARROLL CONSOLIDATED SCH CORP,2 S 3RD ST,FLORA,IN,46929
2650,CASTON SCHOOL CORPORATION,BOX 8,FULTON,IN,46931
4205,CENTER GROVE COM SCH CORP,4800 W STONES CROSSING RD,GREENWOOD,IN,46143
8360,CENTERVILLE-ABINGTON COM SCHS,115 W SOUTH ST,CENTERVILLE,IN,47330
9580,CENTRAL IN EDUCATION SERVICE CTR,6321 LAPAS TRAIL,INDIANAPOLIS,IN,46268
4265,CENTRAL NINE CAREER CENTER,1999 US 31 S,GREENWOOD,IN,46143
6055,CENTRAL NOBLE COM SCHOOL CORP,200 E MAIN ST,ALBION,IN,46701
9645,CHALLENGE FOUNDATION ACADEMY,3980 MEADOWS DR,INDIANAPOLIS,IN,46205
9445,CHARLES A TINDLEY ACCELERATED SCHL,3960 MEADOWS DR,INDIANAPOLIS,IN,46205
9310,CHARTER SCHOOL OF THE DUNES,860 N LAKE ST,GARY,IN,46403
9380,CHRISTEL HOUSE ACADEMY,2717 S EAST ST,INDIANAPOLIS,IN,46225
9385,CHRISTEL HOUSE DORS (DROPOUT RCVY),2717 S EAST ST,INDIANAPOLIS,IN,46225
4145,CLARK-PLEASANT COM SCHOOL CORP,50 CENTER ST,WHITELAND,IN,46184
1000,CLARKSVILLE COM SCHOOL CORP,200 ETTEL LN,CLARKSVILLE,IN,47129
1125,CLAY COMMUNITY SCHOOLS,1013 S FOREST AVE,BRAZIL,IN,47834
1150,CLINTON CENTRAL SCHOOL CORP,BOX 118,MICHIGANTOWN,IN,46057
1160,CLINTON PRAIRIE SCHOOL CORP,4431 W OLD SR 28,FRANKFORT,IN,46041
6750,CLOVERDALE COMMUNITY SCHOOLS,310 E LOGAN,CLOVERDALE,IN,46120
9320,COMMUNITY MONTESSORI INC,4102 ST JOSEPH RD,NEW ALBANY,IN,47150
1170,COMMUNITY SCHOOLS OF FRANKFORT,2400 E WABASH AVE,FRANKFORT,IN,46041
2270,CONCORD COMMUNITY SCHOOLS,59040 MINUTEMAN WAY,ELKHART,IN,46517
8035,COVERED BRIDGE SPEC ED DIST,1320 WALNUT ST,TERRE HAUTE,IN,47807
2440,COVINGTON COMMUNITY SCH CORP,601 MARKET ST,COVINGTON,IN,47932
1900,COWAN COMMUNITY SCHOOL CORP,9401 S NOTTINGHAM,MUNCIE,IN,47302
1300,CRAWFORD CO COM SCHOOL CORP,5805 E ADMINISTRATION RD,MARENGO,IN,47140
5855,CRAWFORDSVILLE COM SCHOOLS,1000 FAIRVIEW AVE,CRAWFORDSVILLE,IN,47933
3710,CROTHERSVILLE COMMUNITY SCHOOLS,201 S PRESTON ST,CROTHERSVILLE,IN,47229
4660,CROWN POINT COMMUNITY SCH CORP,200 E NORTH ST,CROWN POINT,IN,46307
8825,CSUSA DONNAN,6245 N FEDERAL HWY 5TH FLOOR,FORT LAUDERDALE,IN,33308
8810,CSUSA HOWE,6245 N FEDERAL HWY 5TH FLOOR,FORT LAUDERDALE,IN,33308
8815,CSUSA MANUAL,6245 N FEDERAL HWY 5TH FLOOR,FORT LAUDERDALE,IN,33308
5455,CULVER COMMUNITY SCHOOLS CORP,PO BOX 231,CULVER,IN,46511
1940,DALEVILLE COMMUNITY SCHOOLS,14300 W 2ND ST,DALEVILLE,IN,47334
9920,DAMAR CHARTER ACADEMY,6067 DECATUR BLVD,INDIANAPOLIS,IN,46241
3325,DANVILLE COMMUNITY SCHOOL CORP,200 WARRIOR WAY,DANVILLE,IN,46122
1440,DAVIESS-MARTIN SPECIAL ED COOP,PO BOX 637,WASHINGTON,IN,47501
1655,DECATUR COUNTY COM SCHOOLS,1645 W SR 46,GREENSBURG,IN,47240
1835,DEKALB CO CTL UNITED SCH DIST,3326 CR 427,WATERLOO,IN,46793
1805,DEKALB CO EASTERN COM SCH DIST,300 E WASHINGTON ST,BUTLER,IN,46721
1875,DELAWARE COMMUNITY SCHOOL CORP,7821 SR 3 N,MUNCIE,IN,47303
755,DELPHI COMMUNITY SCHOOL CORP,501 ARMORY RD,DELPHI,IN,46923
9870,DISCOVERY CHARTER SCHOOL,800 CANONIE DR,PORTER,IN,46304
9795,DR ROBERT H FAULKNER ACADEMY,1111 W 2ND ST,MARION,IN,46952
6470,DUNELAND SCHOOL CORPORATION,601 W MORGAN AVE,CHESTERTON,IN,46304
255,EAST ALLEN COUNTY SCHOOLS,1240 SR 930 E,NEW HAVEN,IN,46774
9530,EAST CENTRAL EDUCATION SERVICE CTR,1601 INDIANA AVE,CONNERSVILLE,IN,47331
9595,EAST CHICAGO LIGHTHOUSE CHARTER,3916 PULASKI ST,EAST CHICAGO,IN,46312
9555,EAST CHICAGO URBAN ENTERPRISE ACAD,1402 E CHICAGO AVE,EAST CHICAGO,IN,46312
2725,EAST GIBSON SCHOOL CORPORATION,941 S FRANKLIN ST,OAKLAND CITY,IN,47660
6060,EAST NOBLE SCHOOL CORP,126 W RUSH ST,KENDALLVILLE,IN,46755
6510,EAST PORTER COUNTY SCHOOL CORP,502 E COLLEGE AVE - PO BOX 370,KOUTS,IN,46347
8215,EAST WASHINGTON SCHOOL CORP,1050 N EASTERN SCHOOL RD,PEKIN,IN,47165
2815,EASTBROOK COMMUNITY SCH CORP,CR 560 S 900 E,MARION,IN,46953
2940,EASTERN GREENE SCHOOLS,1471 N SR 43,BLOOMFIELD,IN,47424
3145,EASTERN HANCOCK CO COM SCH CORP,10370 E 250 N,CHARLOTTESVILLE,IN,46117
3480,EASTERN HOWARD SCHOOL CORP,221 W MAIN SUITE ONE,GREENTOWN,IN,46936
6620,EASTERN PULASKI COM SCH CORP,711 SCHOOL DR,WINAMAC,IN,46996
4215,EDINBURGH COMMUNITY SCH CORP,202 S KEELEY ST,EDINBURGH,IN,46124
8820,EDISON LEARNING ROOSEVELT,730 W 25TH AVE,GARY,IN,46407
8830,EDPOWER ARLINGTON,3960 MEADOWS DR,INDIANAPOLIS,IN,46205
2305,ELKHART COMMUNITY SCHOOLS,2720 CALIFORNIA RD,ELKHART,IN,46514
5280,ELWOOD COMMUNITY SCHOOL CORP,1306 N ANDERSON ST,ELWOOD,IN,46036
5910,EMINENCE COMMUNITY SCHOOL CORP,PO BOX 135,EMINENCE,IN,46125
,Enlace Academy,5420 N College Ave Ste 202,Indianapolis,IN,46220
7995,EVANSVILLE VANDERBURGH SCH CORP,951 WALNUT ST,EVANSVILLE,IN,47713
9910,EXCEL CENTER FOR ADULT LEARNERS,1635 W MICHIGAN ST,INDIANAPOLIS,IN,46222
2155,FAIRFIELD COMMUNITY SCHOOLS,67240 CR 31,GOSHEN,IN,46528
9370,FALL CREEK ACADEMY,333 N PENNSYLVANIA SUITE 1000,INDIANAPOLIS,IN,46204
2395,FAYETTE COUNTY SCHOOL CORP,1401 SPARTAN DR,CONNERSVILLE,IN,47331
9390,FLANNER HOUSE ELEMENTARY SCHOOL,2424 DR MARTIN LUTHER KING JR,INDIANAPOLIS,IN,46208
370,FLAT ROCK-HAWCREEK SCHOOL CORP,9423 N SR 9,HOPE,IN,47246
235,FORT WAYNE COMMUNITY SCHOOLS,1200 S CLINTON ST,FORT WAYNE,IN,46802
9480,FOUNTAIN SQUARE ACADEMY,1615 S BARTH AVE,INDIANAPOLIS,IN,46203
4225,FRANKLIN COMMUNITY SCHOOL CORP,998 GRIZZLY CUB DR,FRANKLIN,IN,46131
2475,FRANKLIN COUNTY COM SCH CORP,225 E 10TH ST,BROOKVILLE,IN,47012
5310,FRANKLIN TOWNSHIP COM SCH CORP,6141 S FRANKLIN RD,INDIANAPOLIS,IN,46259
5245,FRANKTON-LAPEL COMMUNITY SCHS,7916 W 300 N,ANDERSON,IN,46011
7605,FREMONT COMMUNITY SCHOOLS,PO BOX 665,FREMONT,IN,46737
8525,FRONTIER SCHOOL CORPORATION,PO BOX 809,CHALMERS,IN,47929
1820,GARRETT-KEYSER-BUTLER COM,801 E HOUSTON ST,GARRETT,IN,46738
4690,GARY COMMUNITY SCHOOL CORP,620 E 10TH PL,GARY,IN,46402
9535,GARY LIGHTHOUSE CHARTER SCHOOL,3201 PIERCE ST,GARY,IN,46408
9885,GARY MIDDLE COLLEGE,333 N PENNSYLVANIA ST STE 1000,INDIANAPOLIS,IN,46204
9665,GEIST MONTESSORI ACADEMY,13942 E 96TH ST - SUITE 120,MCCORDSVILLE,IN,46055
2315,GOSHEN COMMUNITY SCHOOLS,613 E PURL ST,GOSHEN,IN,46526
1010,GREATER CLARK COUNTY SCHOOLS,2112 UTICA-SELLERSBURG RD,JEFFERSONVILLE,IN,47130
2120,GREATER JASPER CON SCHS,1520 ST CHARLES ST SUITE 1,JASPER,IN,47546
6845,GREATER RANDOLPH INTERLOCAL COOP,325 S OAK ST - SUITE L103,WINCHESTER,IN,47394
6755,GREENCASTLE COMMUNITY SCH CORP,PO BOX 480,GREENCASTLE,IN,46135
2990,GREENE-SULLIVAN SP ED COOP,77 'A' ST NE,LINTON,IN,47441
3125,GREENFIELD-CENTRAL COM SCHOOLS,110 W NORTH ST,GREENFIELD,IN,46140
1730,GREENSBURG COMMUNITY SCHOOLS,1312 W WESTRIDGE PKY,GREENSBURG,IN,47240
4245,GREENWOOD COMMUNITY SCH CORP,605 W SMITH VALLEY RD,GREENWOOD,IN,46142
4700,GRIFFITH PUBLIC SCHOOLS,PO BOX 749,GRIFFITH,IN,46319
7610,HAMILTON COMMUNITY SCHOOLS,903 S WAYNE ST,HAMILTON,IN,46742
3025,HAMILTON HEIGHTS SCHOOL CORP,PO BOX 469,ARCADIA,IN,46030
3005,HAMILTON SOUTHEASTERN SCHOOLS,13485 CUMBERLAND RD,FISHERS,IN,46038
9705,HAMMOND ACADEMY OF SCIENCE & TECH,33 MUENICH CT,HAMMOND,IN,46320
3130,HANCOCK MADISON SHELBY ED SERVICES,1834 FIELDS BLVD,GREENFIELD,IN,46140
4580,HANOVER COMMUNITY SCHOOL CORP,PO BOX 645,CEDAR LAKE,IN,46303
8065,HEARTLAND CAREER CENTER,79 S 200 W,WABASH,IN,46992
9650,HERRON CHARTER,110 E 16TH ST,INDIANAPOLIS,IN,46202
9865,HOOSIER ACAD VIRTUAL CHARTER,2855 N FRANKLIN RD,INDIANAPOLIS,IN,46219
9805,HOOSIER ACADEMY - INDIANAPOLIS,5640 CAITO DR,INDIANAPOLIS,IN,46226
9655,HOPE ACADEMY,8102 CLEARVISTA PKY,INDIANAPOLIS,IN,46256
3625,HUNTINGTON CO COM SCH CORP,2485 WATERWORKS RD,HUNTINGTON,IN,46750
9850,IMAGINE LIFE SCIENCES ACAD - WEST,4950 W 34TH ST,INDIANAPOLIS,IN,46224
9625,IN ACAD FOR SCI MATH HUMANITIES,DEAN'S OFFICE-TEACHERS CLG BSU,MUNCIE,IN,47306
9905,IN CONNECTIONS ACAD VIRTUAL PILOT,6640 INTECH BLVD - SUITE 250,INDIANAPOLIS,IN,46278
9100,IN DEPARTMENT OF CORRECTION,302 W WASHINGTON ST RM E334,INDIANAPOLIS,IN,46204
,IN Math & Science Academy - South,2701 Bethel Ave,Indianapolis,IN,46203
9605,IN SCH FOR THE BLIND & VIS IMPRD,7725 N COLLEGE AVE,INDIANAPOLIS,IN,46240
9105,IN STATE DEPARTMENT OF HEALTH,2 N MERIDIAN ST,INDIANAPOLIS,IN,46204
9765,INDIANA CYBER CHARTER SCH INC,746 US HWY 30,SCHERERVILLE,IN,46375
9785,INDIANA MATH AND SCIENCE ACADEMY,4575 W 38TH ST,INDIANAPOLIS,IN,46254
9895,INDIANA MATH SCIENCE ACADEMY NORTH,7435 N KEYSTONE AVE,INDIANAPOLIS,IN,46240
9610,INDIANA SCHOOL FOR THE DEAF,1200 E 42ND ST,INDIANAPOLIS,IN,46205
9890,INDIANA VIRTUAL SCHOOL,2206 E 96TH ST,INDIANAPOLIS,IN,46240
9670,INDIANAPOLIS METROPOLITAN HIGH SCH,1635 W MICHIGAN ST,INDIANAPOLIS,IN,46222
5385,INDIANAPOLIS PUBLIC SCHOOLS,120 E WALNUT ST,INDIANAPOLIS,IN,46204
9575,INDPLS LIGHTHOUSE CHARTER SCHOOL,1780 SLOAN AVE,INDIANAPOLIS,IN,46203
9735,INSPIRE ACADEMY - A SCH OF INQUIRY,PO BOX 1823,MUNCIE,IN,47305
9860,INTERNATIONAL SCHOOL OF COLUMBUS,3136 N NATIONAL RD - SUITE E,COLUMBUS,IN,47201
9330,IRVINGTON COMMUNITY SCHOOL,6705 E JULIAN AVE,INDIANAPOLIS,IN,46219
6900,JAC-CEN-DEL COMMUNITY SCH CORP,723 N BUCKEYE ST,OSGOOD,IN,47037
3945,JAY SCHOOL CORP,PO BOX 1239,PORTLAND,IN,47371
4015,JENNINGS COUNTY SCHOOLS,34 MAIN ST,NORTH VERNON,IN,47265
7150,JOHN GLENN SCHOOL CORPORATION,101 JOHN GLENN DR,WALKERTON,IN,46574
5450,JOINT ED SERVICES IN SPEC ED,PO BOX 418,PLYMOUTH,IN,46563
9495,JOSHUA ACADEMY,1230 E ILLINOIS ST,EVANSVILLE,IN,47711
3785,KANKAKEE VALLEY SCHOOL CORP,PO BOX 278,WHEATFIELD,IN,46392
9400,KIPP INDPLS COLLEGE PREPARATORY,3202 E 42ND ST,INDIANAPOLIS,IN,46205
7525,KNOX COMMUNITY SCHOOL CORP,2 REDSKIN TRL,KNOX,IN,46534
3500,KOKOMO-CENTER TWP CON SCH CORP,1500 S WASHINGTON PO BOX 2188,KOKOMO,IN,46904
7855,LAFAYETTE SCHOOL CORPORATION,2300 CASON ST,LAFAYETTE,IN,47904
4615,LAKE CENTRAL SCHOOL CORP,8260 WICKER AVE,SAINT JOHN,IN,46373
4650,LAKE RIDGE SCHOOLS,6111 W RIDGE RD,GARY,IN,46408
4680,LAKE STATION COMMUNITY SCHOOLS,2500 PIKE ST,LAKE STATION,IN,46405
4535,LAKELAND SCHOOL CORPORATION,200 S CHERRY ST,LAGRANGE,IN,46761
3160,LANESVILLE COMMUNITY SCHOOL CORP,2725 CRESTVIEW AVE NE,LANESVILLE,IN,47136
4945,LAPORTE COMMUNITY SCHOOL CORP,1921 'A' ST,LAPORTE,IN,46350
9346,LAPORTE COUNTY SUPERINTENDENT,CO GOV CMPLX-4TH FLR-809 STATE,LAPORTE,IN,46350
1620,LAWRENCEBURG COM SCHOOL CORP,300 TIGER BLVD,LAWRENCEBURG,IN,47025
665,LEBANON COMMUNITY SCHOOL CORP,1810 N GRANT ST,LEBANON,IN,46052
1895,LIBERTY-PERRY COM SCHOOL CORP,BOX 337,SELMA,IN,47383
2950,LINTON-STOCKTON SCHOOL CORP,801 NE 1ST ST,LINTON,IN,47441
875,LOGANSPORT COMMUNITY SCH CORP,2829 GEORGE ST,LOGANSPORT,IN,46947
5525,LOOGOOTEE COMMUNITY SCH CORP,PO BOX 282,LOOGOOTEE,IN,47553
6150,LOST RIVER CAREER COOPERATIVE,600 ELM ST - SUITE ONE,PAOLI,IN,47454
8445,M S D BLUFFTON-HARRISON,805 E HARRISON ST,BLUFFTON,IN,46714
6460,M S D BOONE TOWNSHIP,307 S MAIN ST,HEBRON,IN,46341
5300,M S D DECATUR TOWNSHIP,5275 KENTUCKY AVE,INDIANAPOLIS,IN,46221
5330,M S D LAWRENCE TOWNSHIP,6501 SUNNYSIDE RD,INDIANAPOLIS,IN,46236
5925,M S D MARTINSVILLE SCHOOLS,PO BOX 1416,MARTINSVILLE,IN,46151
6590,M S D MOUNT VERNON,1000 W 4TH ST,MOUNT VERNON,IN,47620
6600,M S D NORTH POSEY CO SCHOOLS,101 N CHURCH ST,POSEYVILLE,IN,47633
4860,M S D OF NEW DURHAM TOWNSHIP,207 E VALPARAISO ST,WESTVILLE,IN,46391
5340,M S D PERRY TOWNSHIP,6548 ORINOCO AVE,INDIANAPOLIS,IN,46227
5350,M S D PIKE TOWNSHIP,6901 ZIONSVILLE RD,INDIANAPOLIS,IN,46268
2960,M S D SHAKAMAK SCHOOLS,9233 SHAKAMAK SCHOOL RD,JASONVILLE,IN,47438
125,M S D SOUTHWEST ALLEN COUNTY SCHLS,4824 HOMESTEAD RD,FORT WAYNE,IN,46814
7615,M S D STEUBEN COUNTY,400 S MARTHA ST,ANGOLA,IN,46703
8050,M S D WABASH COUNTY SCHOOLS,204 N 300 W,WABASH,IN,46992
8115,M S D WARREN COUNTY,101 N MONROE ST,WILLIAMSPORT,IN,47993
5360,M S D WARREN TOWNSHIP,975 N POST RD,INDIANAPOLIS,IN,46219
5370,M S D WASHINGTON TOWNSHIP,8550 WOODFIELD CROSSING BLVD,INDIANAPOLIS,IN,46240
5375,M S D WAYNE TOWNSHIP,1220 S HIGH SCH RD,INDIANAPOLIS,IN,46241
