ZIP,City,County,Adjust Gross Income,Number of returns
,,,55133,430
,,,16590,60
,,,,
,,,27183,600
,,,2885,250
,,,5264,140
,,,5843,100
,,,4713,60
,,,8478,50
,,,** ,** 
,,,,
,,,92458,2170
,,,10803,920
,,,21571,600
,,,19011,310
,,,16413,190
,,,16590,130
,,,8070,20
,,,,
,,,89001,1810
,,,8259,680
,,,16743,460
,,,16703,270
,,,17106,200
,,,23713,180
,,,6477,20
,,,,
,,,37399,720
,,,2826,250
,,,6884,190
,,,6981,120
,,,5750,70
,,,14958,90
,,,** ,** 
,,,,
,,,80022,1800
,,,8821,760
,,,15442,420
,,,17410,280
,,,15755,180
,,,22594,160
,,,** ,** 
,,,,
,,,189487,4040
,,,19484,1650
,,,34726,960
,,,36280,590
,,,33872,390
,,,51723,410
,,,13402,40
,,,,
,,,21487,490
,,,2414,210
,,,4694,130
,,,3756,60
,,,4110,50
,,,6513,40
,,,** ,** 
,,,,
,,,191703,4310
,,,21117,1780
,,,40965,1120
,,,37638,610
,,,34401,400
,,,45493,360
,,,12089,40
,,,,
,,,229895,3920
,,,17212,1510
,,,29900,820
,,,35609,580
,,,33012,380
,,,68377,520
,,,45785,110
,,,,
,,,12971,230
,,,856,70
,,,2271,60
,,,2751,50
,,,2740,30
,,,4353,20
,,,** ,** 
,,,,
,,,27284,620
,,,3060,250
,,,6019,170
,,,5537,90
,,,4846,60
,,,7822,50
,,,** ,** 
,,,,
,,,94411,2120
,,,10442,880
,,,18996,530
,,,19560,320
,,,17603,200
,,,27810,190
,,,** ,** 
,,,,
,,,8429,170
,,,739,60
,,,1432,40
,,,3453,50
,,,** ,** 
,,,2805,20
,,,** ,** 
,,,,
,,,140533,3280
,,,16878,1430
,,,31077,870
,,,27274,440
,,,23434,270
,,,29049,230
,,,12821,40
,,,,
,,,28746,570
,,,2273,200
,,,5115,140
,,,5848,100
,,,5310,60
,,,10200,70
,,,** ,** 
,,,,
,,,81974,1610
,,,6427,560
,,,15335,420
,,,14907,240
,,,16483,190
,,,28822,200
,,,** ,** 
,,,,
,,,266780,5350
,,,24009,2020
,,,50297,1380
,,,52911,860
,,,46140,530
,,,62908,490
,,,30515,70
,,,,
,,,118600,2180
,,,8064,730
,,,19648,540
,,,22583,360
,,,21149,240
,,,36870,280
,,,10286,30
,,,,
,,,15753,330
,,,1733,140
,,,2681,70
,,,3036,50
,,,2159,30
,,,6144,40
,,,** ,** 
,,,,
,,,42677,680
,,,2521,220
,,,5898,160
,,,6506,110
,,,5592,70
,,,10993,80
,,,11167,40
,,,,
,,,40355,840
,,,4150,330
,,,9608,260
,,,6589,110
,,,4658,60
,,,15350,80
,,,** ,** 
,,,,
,,,32632,690
,,,3094,260
,,,6436,180
,,,6155,100
,,,6573,80
,,,10374,70
,,,** ,** 
,,,,
,,,56872,1180
,,,5305,460
,,,11176,300
,,,10796,170
,,,9940,120
,,,19655,130
,,,** ,** 
,,,,
,,,396110,8170
,,,40655,3480
,,,73838,2060
,,,63443,1020
,,,60922,700
,,,101512,780
,,,55740,130
,,,,
,,,64348,1520
,,,8054,690
,,,13560,370
,,,13627,220
,,,10715,120
,,,18392,120
,,,** ,** 
,,,,
,,,45910,980
,,,3634,340
,,,10120,280
,,,10920,180
,,,7727,90
,,,13509,90
,,,** ,** 
,,,,
,,,7460,160
,,,516,50
,,,1390,40
,,,1598,30
,,,3956,40
,,,** ,** 
,,,0,0
,,,,
,,,18391,380
,,,1307,120
,,,3845,110
,,,3945,60
,,,4183,50
,,,5111,40
,,,** ,** 
,,,,
,,,38568,640
,,,2563,230
,,,4730,130
,,,6250,100
,,,7232,80
,,,17793,100
,,,** ,** 
,,,,
,,,14122,260
,,,949,80
,,,2183,60
,,,2552,40
,,,3043,40
,,,5395,40
,,,** ,** 
,,,,
,,,62208,1360
,,,6333,560
,,,11725,320
,,,13721,220
,,,11589,130
,,,18840,130
,,,** ,** 
,,,,
,,,28405,500
,,,1668,160
,,,4499,120
,,,4608,80
,,,6231,70
,,,11399,70
,,,** ,** 
,,,,
,,,6117,120
,,,542,40
,,,1020,30
,,,1311,20
,,,3244,30
,,,** ,** 
,,,** ,** 
,,,,
,,,75440,1590
,,,6315,580
,,,16623,450
,,,13636,220
,,,15506,180
,,,23360,160
,,,** ,** 
,,,,
,,,10632,210
,,,851,70
,,,2344,60
,,,4087,60
,,,** ,** 
,,,3350,20
,,,** ,** 
,,,,
,,,9133,160
,,,354,40
,,,1499,40
,,,2213,40
,,,2055,20
,,,3012,20
,,,** ,** 
,,,,
,,,49809,990
,,,3326,330
,,,9395,260
,,,10258,170
,,,10340,120
,,,16490,110
,,,** ,** 
,,,,
,,,15703,330
,,,1465,130
,,,2575,70
,,,3648,60
,,,2538,30
,,,5477,40
,,,** ,** 
,,,,
,,,19944,440
,,,1961,160
,,,4047,110
,,,4798,80
,,,3367,40
,,,5771,50
,,,** ,** 
,,,,
,,,26945,470
,,,1603,130
,,,3743,100
,,,5279,90
,,,5611,70
,,,10709,80
,,,** ,** 
,,,,
,,,179253,2340
,,,8509,820
,,,19635,530
,,,23546,380
,,,23020,260
,,,36544,280
,,,67999,70
,,,,
,,,18917,390
,,,1649,140
,,,3763,100
,,,3820,60
,,,4300,50
,,,5385,40
,,,** ,** 
,,,,
,,,36590,620
,,,2246,200
,,,5584,150
,,,6264,100
,,,7188,80
,,,15308,90
,,,** ,** 
,,,,
,,,264639,4850
,,,18004,1660
,,,49151,1360
,,,43362,690
,,,43125,500
,,,68795,530
,,,42202,110
,,,,
,,,814244,11140
,,,39107,3650
,,,103877,2850
,,,98120,1590
,,,99153,1150
,,,189155,1430
,,,284832,470
,,,,
,,,21635,380
,,,1231,130
,,,3015,80
,,,3840,60
,,,4227,50
,,,9322,60
,,,** ,** 
,,,,
,,,16107,280
,,,781,80
,,,2035,60
,,,2962,50
,,,3247,40
,,,7082,50
,,,** ,** 
,,,,
,,,208709,4000
,,,14845,1320
,,,40468,1090
,,,40685,660
,,,36244,420
,,,58963,460
,,,17504,50
,,,,
,,,36215,640
,,,2438,220
,,,4852,130
,,,6933,110
,,,6797,80
,,,15195,100
,,,** ,** 
,,,,
,,,107364,1990
,,,7389,630
,,,21399,580
,,,20522,340
,,,18057,210
,,,23622,190
,,,16375,40
,,,,
,,,33957,650
,,,2615,220
,,,5920,160
,,,6587,110
,,,6840,80
,,,11995,80
,,,** ,** 
,,,,
,,,135656,2010
,,,7669,640
,,,19907,540
,,,22152,370
,,,16595,190
,,,29233,230
,,,40100,40
,,,,
,,,33654,630
,,,2366,190
,,,6390,170
,,,6159,100
,,,6890,80
,,,11849,90
,,,** ,** 
,,,,
,,,132046,2650
,,,11133,970
,,,23232,640
,,,23639,390
,,,25943,300
,,,42244,330
,,,5855,20
,,,,
,,,17381,370
,,,1586,130
,,,3276,90
,,,4212,70
,,,3079,40
,,,5228,40
,,,** ,** 
,,,,
,,,30438,580
,,,1701,170
,,,5313,150
,,,5957,100
,,,6830,80
,,,10637,80
,,,** ,** 
,,,,
,,,8104,170
,,,703,60
,,,1529,40
,,,1918,30
,,,3954,40
,,,** ,** 
,,,0,0
,,,,
,,,22974,490
,,,2066,190
,,,4728,130
,,,4485,70
,,,4487,50
,,,7208,50
,,,** ,** 
,,,,
,,,17080,340
,,,1264,110
,,,2769,80
,,,3767,60
,,,4660,50
,,,4620,40
,,,** ,** 
,,,,
,,,147850,1380
,,,3798,420
,,,8817,240
,,,11686,190
,,,16359,190
,,,37328,290
,,,69862,50
,,,,
,,,8503,140
,,,501,40
,,,1493,40
,,,1505,20
,,,5004,40
,,,** ,** 
,,,** ,** 
,,,,
,,,71733,1580
,,,6996,600
,,,15477,430
,,,15408,250
,,,13423,150
,,,20429,150
,,,** ,** 
,,,,
,,,10880,220
,,,674,60
,,,1711,50
,,,2820,50
,,,2283,30
,,,3392,30
,,,** ,** 
,,,,
,,,256395,5330
,,,23865,2060
,,,49097,1360
,,,51425,830
,,,46739,540
,,,60997,480
,,,24272,60
,,,,
,,,13596,310
,,,1241,110
,,,2924,80
,,,3587,60
,,,2283,30
,,,3561,30
,,,** ,** 
,,,,
,,,19946,340
,,,1274,110
,,,2734,80
,,,3362,50
,,,3563,40
,,,9013,60
,,,** ,** 
,,,,
,,,586693,11210
,,,52911,4630
,,,98531,2710
,,,90563,1460
,,,86134,1000
,,,149005,1140
,,,109549,270
,,,,
,,,26504,470
,,,1830,150
,,,4404,120
,,,5238,80
,,,4000,50
,,,11032,70
,,,** ,** 
,,,,
,,,72969,1520
,,,6250,540
,,,14676,400
,,,14069,230
,,,14623,170
,,,23351,180
,,,** ,** 
,,,,
,,,372501,6520
,,,27092,2310
,,,56255,1550
,,,59759,970
,,,61304,710
,,,109937,840
,,,58154,140
,,,,
,,,135687,2600
,,,11629,980
,,,25132,690
,,,24579,400
,,,21519,250
,,,30254,230
,,,22574,50
,,,,
,,,26657,540
,,,2389,200
,,,4896,130
,,,5138,80
,,,5351,60
,,,8883,70
,,,** ,** 
,,,,
,,,22992,420
,,,1852,150
,,,3719,100
,,,4275,70
,,,3548,40
,,,9598,60
,,,** ,** 
,,,,
,,,82522,1260
,,,4133,370
,,,9489,260
,,,10466,170
,,,16543,190
,,,29107,230
,,,12784,40
,,,,
,,,34373,740
,,,3351,280
,,,7149,200
,,,6620,110
,,,7684,90
,,,9569,60
,,,** ,** 
,,,,
,,,5808,120
,,,424,40
,,,2186,50
,,,** ,** 
,,,3198,30
,,,** ,** 
,,,** ,** 
,,,,
,,,45856,780
,,,2943,250
,,,7072,190
,,,8348,130
,,,7223,80
,,,20270,130
,,,** ,** 
,,,,
,,,392385,6160
,,,22936,2020
,,,48200,1310
,,,56543,920
,,,59279,680
,,,136987,1040
,,,68440,190
,,,,
,,,1630416,17570
,,,55959,5200
,,,118445,3250
,,,152064,2450
,,,180082,2080
,,,435918,3250
,,,687948,1340
,,,,
,,,59838,930
,,,3612,300
,,,7856,210
,,,9369,150
,,,8647,100
,,,18753,140
,,,11601,30
,,,,
,,,80169,1230
,,,4634,400
,,,10337,280
,,,12452,200
,,,13436,150
,,,21156,170
,,,18154,30
,,,,
,,,54115,1000
,,,4216,340
,,,9286,250
,,,11225,180
,,,8946,100
,,,20442,130
,,,** ,** 
,,,,
,,,131508,2490
,,,10208,920
,,,21004,580
,,,22767,370
,,,21786,250
,,,43933,340
,,,11810,30
,,,,
,,,33226,700
,,,2915,280
,,,4926,140
,,,6527,100
,,,7768,90
,,,11090,90
,,,** ,** 
,,,,
,,,113801,1680
,,,5235,460
,,,11984,320
,,,16977,270
,,,21731,250
,,,43153,330
,,,14721,50
,,,,
,,,172749,2290
,,,6768,680
,,,13384,360
,,,20711,330
,,,26346,300
,,,67999,510
,,,37541,110
,,,,
,,,22792,450
,,,1974,170
,,,3879,100
,,,4011,70
,,,3768,40
,,,9160,70
,,,** ,** 
,,,,
,,,121752,2130
,,,6912,660
,,,18142,480
,,,22686,360
,,,25105,290
,,,39601,310
,,,9306,30
,,,,
,,,34890,650
,,,2634,220
,,,6065,160
,,,5912,100
,,,6353,70
,,,13926,100
,,,** ,** 
,,,,
,,,103175,2160
,,,8989,820
,,,19779,530
,,,22528,370
,,,20259,230
,,,24741,190
,,,6879,20
,,,,
,,,99342,1710
,,,6656,580
,,,13522,360
,,,17473,280
,,,19843,230
,,,30049,230
,,,11799,30
,,,,
,,,32848,730
,,,3374,300
,,,6085,170
,,,6404,110
,,,6547,80
,,,10438,70
,,,** ,** 
,,,,
,,,283051,5830
,,,27106,2340
,,,51437,1410
,,,53546,870
,,,48489,560
,,,74047,570
,,,28426,80
,,,,
,,,32214,310
,,,1052,90
,,,3089,80
,,,2183,40
,,,2717,30
,,,3528,30
,,,19645,40
,,,,
,,,338514,8130
,,,45733,3750
,,,79830,2250
,,,60820,1000
,,,49300,570
,,,59093,460
,,,43738,100
,,,,
,,,774517,15220
,,,70696,5860
,,,137178,3790
,,,137476,2230
,,,127831,1480
,,,203692,1570
,,,97644,290
,,,,
,,,622950,11120
,,,48797,4080
,,,98233,2690
,,,101224,1650
,,,95132,1100
,,,177896,1370
,,,101668,230
,,,,
,,,129309,4210
,,,30909,2470
,,,38883,1110
,,,19997,330
,,,11486,140
,,,15830,120
,,,12204,40
,,,,
,,,660207,15230
,,,86913,6990
,,,156694,4370
,,,117647,1940
,,,83460,980
,,,94808,740
,,,120685,210
,,,,
,,,824689,14350
,,,67708,5500
,,,139426,3840
,,,127192,2070
,,,104297,1210
,,,172445,1310
,,,213621,420
,,,,
,,,594879,8330
,,,32658,2870
,,,63564,1720
,,,73966,1190
,,,85918,990
,,,159514,1230
,,,179259,330
,,,,
,,,874090,8910
,,,22107,2140
,,,52500,1400
,,,85696,1370
,,,115200,1320
,,,265282,1980
,,,333305,700
,,,,
,,,819990,14710
,,,72373,6130
,,,123615,3460
,,,115973,1880
,,,104480,1210
,,,201744,1530
,,,201805,500
,,,,
,,,567956,9860
,,,42157,3600
,,,85370,2350
,,,92573,1500
,,,82575,960
,,,154360,1160
,,,110921,290
,,,,
,,,154264,4500
,,,27609,2320
,,,44663,1250
,,,29513,480
,,,20761,240
,,,23964,190
,,,7754,20
,,,,
,,,334616,6230
,,,26684,2270
,,,53335,1470
,,,61386,990
,,,58220,670
,,,93135,730
,,,41856,100
,,,,
,,,105876,4000
,,,31926,2740
,,,30315,870
,,,13547,220
,,,7914,90
,,,22174,80
,,,** ,** 
,,,,
,,,21700,450
,,,1673,150
,,,4313,120
,,,5299,90
,,,3319,40
,,,7096,50
,,,** ,** 
,,,,
,,,21499,500
,,,2484,210
,,,4079,110
,,,5731,90
,,,3349,40
,,,5856,50
,,,** ,** 
,,,,
,,,419512,8650
,,,38598,3300
,,,81661,2240
,,,84771,1380
,,,71366,830
,,,101044,780
,,,42072,120
,,,,
,,,23052,510
,,,2354,190
,,,4601,130
,,,5809,90
,,,4231,50
,,,6057,50
,,,** ,** 
,,,,
,,,43248,970
,,,5536,440
,,,7881,220
,,,6692,110
,,,7768,90
,,,15371,110
,,,** ,** 
,,,,
,,,39683,700
,,,2531,210
,,,6572,180
,,,7134,120
,,,6840,80
,,,16606,110
,,,** ,** 
,,,,
,,,44020,950
,,,4053,370
,,,9027,250
,,,7903,130
,,,7436,90
,,,15601,110
,,,** ,** 
,,,,
,,,207587,4340
,,,19854,1680
,,,41224,1150
,,,39899,650
,,,35984,420
,,,48723,380
,,,21903,60
,,,,
,,,16864,330
,,,1259,110
,,,2375,70
,,,3380,60
,,,3039,40
,,,6811,50
,,,** ,** 
,,,,
,,,23430,480
,,,2068,170
,,,4503,130
,,,3983,70
,,,5183,60
,,,7693,50
,,,** ,** 
,,,,
,,,33792,730
,,,3484,290
,,,7002,190
,,,5463,90
,,,6554,80
,,,11289,80
,,,** ,** 
,,,,
,,,11413,210
,,,742,60
,,,2267,60
,,,1826,30
,,,2244,30
,,,4334,30
,,,** ,** 
,,,,
,,,52790,1100
,,,4494,400
,,,9784,270
,,,10908,180
,,,11187,130
,,,16417,120
,,,** ,** 
,,,,
,,,19469,350
,,,1161,110
,,,2858,80
,,,3267,50
,,,4165,50
,,,8018,60
,,,** ,** 
,,,,
,,,16042,310
,,,1132,100
,,,2848,80
,,,2941,50
,,,2759,30
,,,6362,50
,,,** ,** 
,,,,
,,,22064,450
,,,2038,180
,,,4492,120
,,,4178,70
,,,3725,40
,,,7631,40
,,,** ,** 
,,,,
,,,13351,250
,,,1155,100
,,,2294,60
,,,1554,20
,,,2811,30
,,,5537,40
,,,** ,** 
,,,,
,,,30014,710
,,,3500,300
,,,6784,190
,,,5920,100
,,,4465,50
,,,9345,70
,,,** ,** 
,,,,
,,,8465,190
,,,857,70
,,,1920,50
,,,1732,30
,,,3956,40
,,,** ,** 
,,,** ,** 
,,,,
,,,55187,1200
,,,5873,490
,,,11429,310
,,,10174,170
,,,8126,100
,,,19585,130
,,,** ,** 
,,,,
,,,159585,3240
,,,14950,1310
,,,28259,780
,,,29545,480
,,,24271,280
,,,43105,330
,,,19455,60
,,,,
,,,73123,1550
,,,6818,600
,,,13588,370
,,,16072,260
,,,12809,150
,,,23836,170
,,,** ,** 
,,,,
,,,57544,1320
,,,6644,540
,,,13098,360
,,,11413,180
,,,11394,130
,,,14995,110
,,,** ,** 
,,,,
,,,203597,3880
,,,17557,1540
,,,32237,880
,,,33063,540
,,,34036,390
,,,59146,460
,,,27558,70
,,,,
,,,194080,4070
,,,19187,1640
,,,36799,1010
,,,35130,570
,,,34101,400
,,,51563,400
,,,17300,50
,,,,
,,,78733,1760
,,,11839,860
,,,18419,520
,,,8827,150
,,,6214,70
,,,14427,110
,,,19007,50
,,,,
,,,257931,7410
,,,47120,3560
,,,85778,2410
,,,48346,800
,,,29209,340
,,,32504,250
,,,14974,50
,,,,
,,,1249956,19940
,,,88368,7140
,,,186253,5110
,,,173379,2810
,,,164109,1890
,,,308761,2340
,,,329086,650
,,,,
,,,1921512,21140
,,,86988,7750
,,,142383,3940
,,,146144,2360
,,,169161,1940
,,,494834,3600
,,,882002,1550
,,,,
,,,1101113,20010
,,,82992,6840
,,,193138,5290
,,,193917,3150
,,,177035,2050
,,,298247,2300
,,,155784,380
,,,,
,,,6897,160
,,,781,70
,,,1825,50
,,,1462,20
,,,2829,20
,,,** ,** 
,,,** ,** 
,,,,
,,,137011,2810
,,,11955,1080
,,,25710,710
,,,25938,420
,,,25648,300
,,,34733,270
,,,13027,30
,,,,
,,,90145,1320
,,,4506,410
,,,10525,280
,,,11722,190
,,,12874,150
,,,31659,240
,,,18859,50
,,,,
,,,21248,490
,,,2156,190
,,,5012,140
,,,4802,80
,,,3372,40
,,,5906,40
,,,** ,** 
,,,,
,,,33174,700
,,,3628,280
,,,6486,180
,,,6823,110
,,,6321,70
,,,9916,60
,,,** ,** 
,,,,
,,,98393,1790
,,,6464,580
,,,15549,430
,,,18839,310
,,,17331,200
,,,30028,230
,,,10182,40
,,,,
,,,24307,530
,,,2111,190
,,,5491,150
,,,4103,70
,,,4841,60
,,,7761,60
,,,** ,** 
,,,,
,,,38869,820
,,,3672,310
,,,7753,210
,,,8071,130
,,,7011,80
,,,12362,90
,,,** ,** 
,,,,
,,,21257,400
,,,1483,130
,,,4086,110
,,,3835,60
,,,4607,50
,,,7246,50
,,,** ,** 
,,,,
,,,27924,520
,,,2227,180
,,,4891,140
,,,4733,80
,,,4268,50
,,,11805,70
,,,** ,** 
,,,,
,,,134164,2470
,,,10758,890
,,,19962,550
,,,25132,400
,,,24540,290
,,,38226,300
,,,15546,40
,,,,
,,,647110,12970
,,,56337,4840
,,,127145,3520
,,,113505,1850
,,,105127,1220
,,,171833,1330
,,,73163,210
,,,,
,,,35110,700
,,,2882,240
,,,6796,180
,,,8622,140
,,,6352,70
,,,10458,70
,,,** ,** 
,,,,
,,,15954,330
,,,1282,120
,,,3247,90
,,,2967,50
,,,3597,40
,,,4861,30
,,,** ,** 
,,,,
,,,24615,460
,,,1754,150
,,,4770,120
,,,4888,80
,,,3981,50
,,,9222,60
,,,** ,** 
,,,,
,,,84447,1680
,,,7001,610
,,,16088,450
,,,16060,260
,,,13475,160
,,,23001,170
,,,8822,30
,,,,
,,,50135,880
,,,3306,310
,,,6909,190
,,,9080,150
,,,8500,100
,,,13887,100
,,,8453,30
,,,,
,,,27881,590
,,,2554,210
,,,6967,190
,,,5739,90
,,,4432,50
,,,8189,50
,,,** ,** 
,,,,
,,,28059,600
,,,2249,210
,,,6157,170
,,,5368,90
,,,5210,60
,,,9075,70
,,,** ,** 
,,,,
,,,16034,390
,,,1798,160
,,,3934,110
,,,3945,60
,,,3424,40
,,,2933,20
,,,** ,** 
,,,,
,,,47830,1010
,,,4789,410
,,,9477,260
,,,10045,160
,,,6826,80
,,,16693,100
,,,** ,** 
,,,,
,,,50498,1180
,,,5462,480
,,,11425,320
,,,10593,170
,,,8254,100
,,,14764,110
,,,** ,** 
,,,,
,,,53883,1060
,,,4553,380
,,,10371,290
,,,9511,150
,,,9227,110
,,,20221,130
,,,** ,** 
,,,,
,,,21559,430
,,,1747,150
,,,3847,100
,,,4151,70
,,,5447,60
,,,6367,50
,,,** ,** 
,,,,
,,,29854,720
,,,3358,300
,,,6820,190
,,,6278,100
,,,6888,80
,,,6510,50
,,,** ,** 
,,,,
,,,50321,1220
,,,5814,470
,,,14941,410
,,,10454,170
,,,7403,90
,,,11709,80
,,,** ,** 
,,,,
,,,381735,7320
,,,32479,2880
,,,68963,1910
,,,63554,1030
,,,55116,630
,,,93056,710
,,,68567,160
,,,,
,,,41469,920
,,,4017,360
,,,8894,240
,,,8092,130
,,,8950,110
,,,11516,80
,,,** ,** 
,,,,
,,,17121,330
,,,1128,100
,,,2745,70
,,,4859,80
,,,3312,40
,,,5077,40
,,,** ,** 
,,,,
,,,28165,490
,,,1961,170
,,,4764,130
,,,4503,70
,,,3579,40
,,,13358,80
,,,** ,** 
,,,,
,,,49651,950
,,,3723,330
,,,9848,270
,,,8107,130
,,,6612,80
,,,21361,140
,,,** ,** 
,,,,
,,,37620,850
,,,3482,310
,,,8519,240
,,,7823,130
,,,7439,90
,,,10357,80
,,,** ,** 
,,,,
,,,26085,510
,,,1979,170
,,,5126,140
,,,5810,90
,,,5017,60
,,,8153,50
,,,** ,** 
,,,,
,,,21577,340
,,,1414,110
,,,2412,60
,,,4508,70
,,,3754,40
,,,9489,60
,,,** ,** 
,,,,
,,,60337,1070
,,,4564,380
,,,10674,290
,,,10359,170
,,,8086,90
,,,13853,110
,,,12801,30
,,,,
,,,257535,5020
,,,20513,1870
,,,45759,1240
,,,46482,760
,,,44734,520
,,,71389,550
,,,28658,80
,,,,
,,,26313,510
,,,1934,180
,,,4792,130
,,,5680,90
,,,4348,50
,,,9559,60
,,,** ,** 
,,,,
,,,24545,400
,,,1313,120
,,,3308,90
,,,4454,70
,,,4465,50
,,,11005,70
,,,** ,** 
,,,,
,,,81723,1790
,,,7428,690
,,,18381,500
,,,16074,260
,,,13013,150
,,,26827,190
,,,** ,** 
,,,,
,,,30678,550
,,,2012,180
,,,5338,140
,,,5446,90
,,,4889,60
,,,12993,80
,,,** ,** 
,,,,
,,,40359,840
,,,3293,290
,,,8563,240
,,,7743,130
,,,6506,80
,,,14254,100
,,,** ,** 
,,,,
,,,21733,460
,,,2153,180
,,,4443,120
,,,4435,70
,,,4088,50
,,,6614,40
,,,** ,** 
,,,,
,,,44882,710
,,,2408,210
,,,5590,150
,,,6457,100
,,,9346,110
,,,21081,140
,,,** ,** 
,,,,
,,,94300,1810
,,,6895,620
,,,17048,470
,,,18114,290
,,,16700,190
,,,28718,220
,,,6825,20
,,,,
,,,14845,290
,,,1214,90
,,,2931,80
,,,2272,40
,,,3385,40
,,,5043,40
,,,** ,** 
,,,,
,,,41097,810
,,,3201,290
,,,7604,210
,,,6564,110
,,,7489,90
,,,16239,110
,,,** ,** 
,,,,
,,,1317094,25160
,,,122692,10080
,,,251928,6960
,,,221136,3620
,,,175504,2040
,,,251499,1910
,,,294335,550
